latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.8875,26.2349,319.4,1,1,2021-08-11,911,Terra,MODIS,55,6.03,301.9,7.3,D,0
37.3424,22.0495,329.8,1.1,1.1,2021-08-11,913,Terra,MODIS,56,6.03,309,12.3,D,0
37.667,21.7906,321.2,4.3,1.9,2021-08-11,1233,Aqua,MODIS,59,6.03,297.2,74.7,D,0
38.2667,24.2307,319.5,1.1,1,2021-08-12,33,Aqua,MODIS,99,6.03,291.1,19.9,N,0
38.2688,24.218,332.1,1.1,1,2021-08-12,33,Aqua,MODIS,100,6.03,289.8,36.6,N,0
37.6732,21.822,306.8,1,1,2021-08-12,34,Aqua,MODIS,69,6.03,295.8,6.1,N,0
37.6749,21.8109,305.4,1,1,2021-08-12,34,Aqua,MODIS,64,6.03,295.1,5.1,N,0
41.4472,21.9474,326.1,1.7,1.3,2021-08-12,954,Terra,MODIS,78,6.03,304.2,26.8,D,2
37.4022,27.6537,318.7,4.8,2,2021-08-12,955,Terra,MODIS,65,6.03,304.2,82.7,D,2
37.4032,27.6497,319.6,4.8,2,2021-08-12,955,Terra,MODIS,37,6.03,304.2,82.7,D,2
37.4159,27.6032,317.3,4.7,2,2021-08-12,955,Terra,MODIS,56,6.03,302.3,71.2,D,0
39.9451,20.3294,331.1,1.1,1,2021-08-12,1138,Aqua,MODIS,41,6.03,314.7,13.2,D,0
40.1776,19.7529,329.1,1.1,1,2021-08-12,1138,Aqua,MODIS,76,6.03,304.8,19.1,D,0
40.1795,19.7641,333.2,1.1,1,2021-08-12,1138,Aqua,MODIS,81,6.03,305.7,24.5,D,0
41.4409,21.9372,339.9,1,1,2021-08-12,1138,Aqua,MODIS,88,6.03,314.9,25.1,D,2
41.4488,21.9333,310.5,2,1.4,2021-08-12,2100,Terra,MODIS,80,6.03,293.3,21.8,N,2
41.3553,22.1316,324,1.8,1.3,2021-08-13,859,Terra,MODIS,74,6.03,303.3,28.2,D,0
41.3571,22.1114,320.4,1.8,1.3,2021-08-13,859,Terra,MODIS,69,6.03,305.1,19.2,D,0
37.8529,27.9164,332.6,1,1,2021-08-13,900,Terra,MODIS,80,6.03,309.7,17.8,D,0
37.8545,27.9052,328.1,1,1,2021-08-13,900,Terra,MODIS,74,6.03,309.7,11.3,D,0
41.4465,21.9418,309.6,1.3,1.1,2021-08-14,20,Aqua,MODIS,78,6.03,292.4,12.8,N,2
40.4438,27.147,305.6,1,1,2021-08-14,21,Aqua,MODIS,65,6.03,294.1,6.6,N,0
40.2528,19.9184,349.4,1.1,1,2021-08-14,942,Terra,MODIS,94,6.03,309.3,54.4,D,0
40.2548,19.9062,326,1.1,1,2021-08-14,942,Terra,MODIS,75,6.03,308.5,13.6,D,0
40.4658,19.636,327.4,1,1,2021-08-14,942,Terra,MODIS,76,6.03,311.5,11,D,0
41.4474,21.9457,341.4,1.2,1.1,2021-08-14,942,Terra,MODIS,90,6.03,308.1,42.9,D,2
41.4499,21.9318,325.5,1.2,1.1,2021-08-14,942,Terra,MODIS,77,6.03,308.7,12.6,D,2
38.4514,26.5084,354.7,2.5,1.5,2021-08-14,943,Terra,MODIS,74,6.03,304.4,249.1,D,0
38.4582,26.5031,344.1,2.5,1.5,2021-08-14,943,Terra,MODIS,0,6.03,304.4,161.1,D,0
38.4652,26.5106,317.5,2.5,1.5,2021-08-14,943,Terra,MODIS,57,6.03,299.7,34,D,0
38.1964,27.1194,327.6,1,1,2021-08-14,1125,Aqua,MODIS,70,6.03,311.9,9.8,D,0
38.2054,27.1175,336.4,1,1,2021-08-14,1125,Aqua,MODIS,83,6.03,311.8,21.8,D,0
38.251,24.2085,361.9,1.1,1,2021-08-14,1125,Aqua,MODIS,100,6.03,307.7,88,D,0
38.2529,24.2202,397.6,1.1,1,2021-08-14,1125,Aqua,MODIS,100,6.03,312.5,246.7,D,0
38.2601,24.2065,377.5,1.1,1,2021-08-14,1125,Aqua,MODIS,100,6.03,311.8,144.1,D,0
38.262,24.2182,429.5,1.1,1,2021-08-14,1125,Aqua,MODIS,100,6.03,321.5,506.9,D,0
38.4446,26.5029,376.3,1,1,2021-08-14,1125,Aqua,MODIS,100,6.03,314.3,134.8,D,3
38.455,26.512,325,1,1,2021-08-14,1125,Aqua,MODIS,55,6.03,305.5,14,D,0
38.4612,26.4934,335.9,1,1,2021-08-14,1125,Aqua,MODIS,78,6.03,309.9,27.3,D,0
38.4628,26.5047,329,1,1,2021-08-14,1125,Aqua,MODIS,73,6.03,305.8,18.1,D,0
40.2431,19.9107,346.9,1.5,1.2,2021-08-14,1126,Aqua,MODIS,93,6.03,308.7,78.9,D,0
40.2462,19.9265,338.2,1.5,1.2,2021-08-14,1126,Aqua,MODIS,87,6.03,305.6,51.3,D,0
40.2469,19.898,325,1.5,1.2,2021-08-14,1126,Aqua,MODIS,73,6.03,311.6,21.2,D,0
40.2502,19.9156,366.7,1.5,1.2,2021-08-14,1126,Aqua,MODIS,100,6.03,308.9,166.8,D,0
40.2592,27.7907,323.2,1.1,1,2021-08-14,1126,Aqua,MODIS,50,6.03,308,7.3,D,0
40.2608,27.8035,367.5,1.1,1,2021-08-14,1126,Aqua,MODIS,100,6.03,311.6,107.9,D,0
40.2624,27.8164,323.6,1.1,1,2021-08-14,1126,Aqua,MODIS,44,6.03,309,8,D,0
40.2701,27.8017,323,1.1,1,2021-08-14,1126,Aqua,MODIS,58,6.03,308.1,7.2,D,0
40.443,27.1412,319,1.1,1,2021-08-14,1126,Aqua,MODIS,49,6.03,303.3,6.5,D,0
40.8846,26.2302,321.6,1,1,2021-08-14,1126,Aqua,MODIS,66,6.03,304.2,11.6,D,0
41.4449,21.9367,335.5,1.1,1.1,2021-08-14,1126,Aqua,MODIS,85,6.03,313.2,24.2,D,2
